Detector Part,Silicon Absorption Probability,Mount Absorption Probability,Average eta Phonon,Standard Deviation
Mount,0.011,0.38,1.6777,0.729319
Inductor,0.001,0.4,1.28456,1.0257
Silicon,0.001,0.4,33.7702,2.58309
Capacitor,0.001,0.4,0.324485,0.412722
Feedline,0.001,0.4,2.44251,1.03928
Mount,0.001,0.4,22.1712,2.49315
Inductor,0.003,0.4,1.10159,1.06325
Silicon,0.003,0.4,48.4431,1.69777
Capacitor,0.003,0.4,0.268745,0.379217
Feedline,0.003,0.4,1.43765,0.972168
Mount,0.003,0.4,8.74131,1.48528
Inductor,0.005,0.4,1.13814,0.918229
Silicon,0.005,0.4,52.0507,1.55769
Capacitor,0.005,0.4,0.259625,0.450919
Feedline,0.005,0.4,1.19994,0.738846
Mount,0.005,0.4,5.34701,1.25642
Inductor,0.007,0.4,1.04027,0.868885
Silicon,0.007,0.4,54.3563,1.50515
Capacitor,0.007,0.4,0.291595,0.434118
Feedline,0.007,0.4,1.0401,0.797205
Mount,0.007,0.4,3.26944,0.96878
Inductor,0.009,0.4,0.796034,0.924757
Silicon,0.009,0.4,55.5544,1.72893
Capacitor,0.009,0.4,0.215658,0.420761
Feedline,0.009,0.4,0.915758,0.856183
Mount,0.009,0.4,2.51256,1.08867
Inductor,0.011,0.4,0.994463,1.06134
Silicon,0.011,0.4,56.1727,1.6357
Capacitor,0.011,0.4,0.244675,0.468476
Feedline,0.011,0.4,0.774904,0.932441
Mount,0.011,0.4,1.81241,0.643666
Inductor,0.001,0.42,1.21861,0.825345
Silicon,0.001,0.42,32.8411,2.08658
Capacitor,0.001,0.42,0.37925,0.538526
Feedline,0.001,0.42,2.27518,1.00363
Mount,0.001,0.42,23.2802,2.23876
Inductor,0.003,0.42,1.15748,1.02325
Silicon,0.003,0.42,48.2125,2.16797
Capacitor,0.003,0.42,0.321097,0.393067
Feedline,0.003,0.42,1.46699,0.978784
Mount,0.003,0.42,8.83694,1.73515
Inductor,0.005,0.42,0.906942,0.7548
Silicon,0.005,0.42,52.3976,1.66602
Capacitor,0.005,0.42,0.382398,0.48271
Feedline,0.005,0.42,1.10791,0.80147
Mount,0.005,0.42,5.2016,1.3299
Inductor,0.007,0.42,0.913217,0.845234
Silicon,0.007,0.42,54.3589,1.33661
Capacitor,0.007,0.42,0.247915,0.382006
Feedline,0.007,0.42,1.17504,0.933078
Mount,0.007,0.42,3.30341,1.20457
Inductor,0.009,0.42,0.765937,0.74
Silicon,0.009,0.42,55.7056,1.55417
Capacitor,0.009,0.42,0.32446,0.547306
Feedline,0.009,0.42,0.95797,0.83511
Mount,0.009,0.42,2.24148,0.818041
Inductor,0.011,0.42,0.545834,0.621894
Silicon,0.011,0.42,56.592,1.16341
Capacitor,0.011,0.42,0.199061,0.428805
Feedline,0.011,0.42,1.0216,0.87232
Mount,0.011,0.42,1.63939,0.715604
Inductor,0.001,0.44,1.32233,0.832383
Silicon,0.001,0.44,32.7432,2.27536
Capacitor,0.001,0.44,0.360687,0.506404
Feedline,0.001,0.44,2.41254,1.23266
Mount,0.001,0.44,23.1527,2.29753
Inductor,0.003,0.44,1.16477,0.815815
Silicon,0.003,0.44,48.1769,2.3191
Capacitor,0.003,0.44,0.234328,0.413557
Feedline,0.003,0.44,1.34855,1.02641
Mount,0.003,0.44,9.07296,1.84642
Inductor,0.005,0.44,0.861245,0.987941
Silicon,0.005,0.44,52.6171,1.93676
Capacitor,0.005,0.44,0.24398,0.426169
Feedline,0.005,0.44,1.32361,1.02007
Mount,0.005,0.44,4.95082,1.14459
Inductor,0.007,0.44,0.775222,0.759797
Silicon,0.007,0.44,55.0366,1.63112
Capacitor,0.007,0.44,0.102343,0.232492
Feedline,0.007,0.44,0.867766,0.938236
Mount,0.007,0.44,3.21658,1.13511
Inductor,0.009,0.44,0.518841,0.775232
Silicon,0.009,0.44,56.0195,1.61707
Capacitor,0.009,0.44,0.156461,0.315724
Feedline,0.009,0.44,0.925811,0.879369
Mount,0.009,0.44,2.37603,1.03079
Inductor,0.011,0.44,0.806494,0.853204
Silicon,0.011,0.44,56.5456,1.48477
Capacitor,0.011,0.44,0.213675,0.392919
Feedline,0.011,0.44,0.837085,0.821217
Mount,0.011,0.44,1.5933,0.62468
Inductor,0.001,0.46,1.09802,0.94312
Silicon,0.001,0.46,32.6664,2.64626
Capacitor,0.001,0.46,0.369164,0.408231
Feedline,0.001,0.46,2.20317,1.18555
Mount,0.001,0.46,23.6539,2.51438
Inductor,0.003,0.46,1.18445,1.1171
Silicon,0.003,0.46,47.5007,2.31826
Capacitor,0.003,0.46,0.286858,0.480432
Feedline,0.003,0.46,1.10291,0.870094
Mount,0.003,0.46,9.92004,1.7756
Inductor,0.005,0.46,0.977729,1.05114
Silicon,0.005,0.46,52.2444,2.24078
Capacitor,0.005,0.46,0.258523,0.462588
Feedline,0.005,0.46,1.24725,0.913845
Mount,0.005,0.46,5.26445,1.64224
Inductor,0.007,0.46,0.872398,0.930829
Silicon,0.007,0.46,54.2558,1.63159
Capacitor,0.007,0.46,0.314665,0.492535
Feedline,0.007,0.46,0.97219,1.06029
Mount,0.007,0.46,3.57948,1.06585
Inductor,0.009,0.46,0.757913,1.01824
Silicon,0.009,0.46,55.5379,1.8434
Capacitor,0.009,0.46,0.140449,0.351998
Feedline,0.009,0.46,1.02391,0.776547
Mount,0.009,0.46,2.53863,1.37487
Inductor,0.011,0.46,0.923963,0.9527
Silicon,0.011,0.46,56.2117,1.61941
Capacitor,0.011,0.46,0.229259,0.483013
Feedline,0.011,0.46,0.929736,0.86452
Mount,0.011,0.46,1.70145,0.838127
Inductor,0.001,0.48,1.20886,0.918915
Silicon,0.001,0.48,32.2157,2.20608
Capacitor,0.001,0.48,0.522738,0.613449
Feedline,0.001,0.48,2.143,1.15867
Mount,0.001,0.48,23.9004,1.82875
Inductor,0.003,0.48,0.884674,0.843885
Silicon,0.003,0.48,47.7885,2.00522
Capacitor,0.003,0.48,0.253749,0.447093
Feedline,0.003,0.48,1.35174,0.856107
Mount,0.003,0.48,9.7143,1.91734
Inductor,0.005,0.48,1.01603,0.849418
Silicon,0.005,0.48,51.7472,2.2094
Capacitor,0.005,0.48,0.261421,0.414927
Feedline,0.005,0.48,1.41343,0.987374
Mount,0.005,0.48,5.55804,1.43368
Inductor,0.007,0.48,0.821302,0.779162
Silicon,0.007,0.48,54.5027,1.71545
Capacitor,0.007,0.48,0.234067,0.426285
Feedline,0.007,0.48,1.14901,0.93175
Mount,0.007,0.48,3.28849,1.1056
Inductor,0.009,0.48,1.04797,1.03467
Silicon,0.009,0.48,55.1515,1.8991
Capacitor,0.009,0.48,0.211957,0.383525
Feedline,0.009,0.48,0.959196,0.949229
Mount,0.009,0.48,2.62755,1.162
Inductor,0.011,0.48,0.684319,0.759585
Silicon,0.011,0.48,56.5527,1.43738
Capacitor,0.011,0.48,0.0910101,0.320273
Feedline,0.011,0.48,0.981372,0.842437
Mount,0.011,0.48,1.68787,0.808756
Inductor,0.001,0.5,1.25986,1.00913
Silicon,0.001,0.5,31.4331,2.35582
Capacitor,0.001,0.5,0.348638,0.477269
Feedline,0.001,0.5,2.39668,0.974979
Mount,0.001,0.5,24.5495,2.54386
Inductor,0.003,0.5,1.20526,1.10538
Silicon,0.003,0.5,47.2784,1.91712
Capacitor,0.003,0.5,0.351819,0.601016
Feedline,0.003,0.5,1.37884,0.838978
Mount,0.003,0.5,9.77799,1.63162
Inductor,0.005,0.5,0.995616,0.718334
Silicon,0.005,0.5,51.3142,1.92855
Capacitor,0.005,0.5,0.333847,0.449838
Feedline,0.005,0.5,1.26474,0.98974
Mount,0.005,0.5,6.09016,1.33603
Inductor,0.007,0.5,1.02987,0.968909
Silicon,0.007,0.5,54.4209,1.67433
Capacitor,0.007,0.5,0.231836,0.366104
Feedline,0.007,0.5,0.873733,0.78985
Mount,0.007,0.5,3.44024,1.21963
Inductor,0.009,0.5,1.0179,0.943792
Silicon,0.009,0.5,55.1013,1.69334
Capacitor,0.009,0.5,0.34042,0.503401
Feedline,0.009,0.5,1.01769,0.843054
Mount,0.009,0.5,2.52222,1.05577
Inductor,0.011,0.5,0.789136,0.740426
Silicon,0.011,0.5,56.0305,1.42382
Capacitor,0.011,0.5,0.199968,0.462936
Feedline,0.011,0.5,1.00757,0.872756
Mount,0.011,0.5,1.97039,0.794338
Inductor,0.001,0.52,1.03609,0.938563
Silicon,0.001,0.52,32.0151,2.01646
Capacitor,0.001,0.52,0.403446,0.458109
Feedline,0.001,0.52,2.33642,0.9622
Mount,0.001,0.52,24.1978,1.71948
Inductor,0.003,0.52,0.985603,0.991541
Silicon,0.003,0.52,46.9317,2.3042
Capacitor,0.003,0.52,0.287856,0.465617
Feedline,0.003,0.52,1.24532,0.934838
Mount,0.003,0.52,10.5455,2.05709
Inductor,0.005,0.52,0.965576,0.771131
Silicon,0.005,0.52,51.3352,1.74633
Capacitor,0.005,0.52,0.281304,0.39703
Feedline,0.005,0.52,1.30823,0.898723
Mount,0.005,0.52,6.10631,1.28201
Inductor,0.007,0.52,0.797203,0.886762
Silicon,0.007,0.52,54.0719,1.7382
Capacitor,0.007,0.52,0.205688,0.357426
Feedline,0.007,0.52,1.05761,0.980782
Mount,0.007,0.52,3.86594,1.25169
Inductor,0.009,0.52,1.10621,1.05439
Silicon,0.009,0.52,54.9797,1.68152
Capacitor,0.009,0.52,0.22401,0.417275
Feedline,0.009,0.52,0.927269,0.927584
Mount,0.009,0.52,2.76198,1.04371
Inductor,0.011,0.52,0.653896,0.860155
Silicon,0.011,0.52,56.4089,1.34271
Capacitor,0.011,0.52,0.298101,0.426417
Feedline,0.011,0.52,0.729418,0.73384
Mount,0.011,0.52,1.90721,0.865302
Inductor,0.001,0.54,1.07761,0.854549
Silicon,0.001,0.54,32.0736,2.4898
Capacitor,0.001,0.54,0.387966,0.475851
Feedline,0.001,0.54,2.05997,1.02236
Mount,0.001,0.54,24.3913,2.41708
Inductor,0.003,0.54,0.952161,1.01092
Silicon,0.003,0.54,47.0795,2.23412
Capacitor,0.003,0.54,0.23487,0.378869
Feedline,0.003,0.54,1.26226,0.926389
Mount,0.003,0.54,10.4638,1.92908
Inductor,0.005,0.54,0.776251,0.705284
Silicon,0.005,0.54,51.8466,1.81896
Capacitor,0.005,0.54,0.252655,0.422952
Feedline,0.005,0.54,1.00443,0.82294
Mount,0.005,0.54,6.11364,1.46536
Inductor,0.007,0.54,0.707227,0.81951
Silicon,0.007,0.54,54.1942,1.69787
Capacitor,0.007,0.54,0.260547,0.497105
Feedline,0.007,0.54,0.969483,0.871154
Mount,0.007,0.54,3.86712,1.14054
Inductor,0.009,0.54,0.991025,0.964082
Silicon,0.009,0.54,55.4324,1.7594
Capacitor,0.009,0.54,0.219278,0.477704
Feedline,0.009,0.54,0.802584,1.01645
Mount,0.009,0.54,2.55333,1.03782
Inductor,0.011,0.54,0.657272,0.732915
Silicon,0.011,0.54,56.6263,1.38104
Capacitor,0.011,0.54,0.24957,0.424962
Feedline,0.011,0.54,0.788667,0.77108
Mount,0.011,0.54,1.6754,0.723724
Inductor,0.001,0.56,0.998256,0.942826
Silicon,0.001,0.56,32.0466,2.43604
Capacitor,0.001,0.56,0.27623,0.42339
Feedline,0.001,0.56,2.22945,1.26414
Mount,0.001,0.56,24.4368,1.97712
Inductor,0.003,0.56,0.915225,0.733122
Silicon,0.003,0.56,46.348,2.34431
Capacitor,0.003,0.56,0.422744,0.570995
Feedline,0.003,0.56,1.32517,0.941762
Mount,0.003,0.56,10.9808,1.85121
Inductor,0.005,0.56,0.89351,0.757891
Silicon,0.005,0.56,51.6021,1.61978
Capacitor,0.005,0.56,0.223034,0.403956
Feedline,0.005,0.56,1.25209,1.02805
Mount,0.005,0.56,6.02462,1.35572
Inductor,0.007,0.56,0.876211,0.818059
Silicon,0.007,0.56,53.8737,1.90146
Capacitor,0.007,0.56,0.265861,0.438837
Feedline,0.007,0.56,1.07802,0.87389
Mount,0.007,0.56,3.90479,1.13905
Inductor,0.009,0.56,1.02927,0.976356
Silicon,0.009,0.56,54.947,1.92724
Capacitor,0.009,0.56,0.186043,0.369925
Feedline,0.009,0.56,0.868188,0.815873
Mount,0.009,0.56,2.96489,1.07475
Inductor,0.011,0.56,0.755113,0.878124
Silicon,0.011,0.56,56.1883,1.43913
Capacitor,0.011,0.56,0.243295,0.49568
Feedline,0.011,0.56,0.916832,0.849414
Mount,0.011,0.56,1.89259,0.76713
Inductor,0.001,0.58,1.31163,0.998666
Silicon,0.001,0.58,31.3319,2.33299
Capacitor,0.001,0.58,0.248339,0.401903
Feedline,0.001,0.58,2.30223,1.15375
Mount,0.001,0.58,24.7975,1.92901
Inductor,0.003,0.58,0.947276,0.873765
Silicon,0.003,0.58,46.9212,1.91808
Capacitor,0.003,0.58,0.322934,0.416189
Feedline,0.003,0.58,1.31282,0.850259
Mount,0.003,0.58,10.4906,1.5825
Inductor,0.005,0.58,1.03654,1.11547
Silicon,0.005,0.58,51.6148,1.91326
Capacitor,0.005,0.58,0.210127,0.343395
Feedline,0.005,0.58,1.20255,0.917362
Mount,0.005,0.58,5.92869,1.37139
Inductor,0.007,0.58,0.765756,0.94376
Silicon,0.007,0.58,54.0853,1.82204
Capacitor,0.007,0.58,0.187447,0.379147
Feedline,0.007,0.58,1.10908,0.925204
Mount,0.007,0.58,3.84955,1.449
Inductor,0.009,0.58,1.04581,1.02162
Silicon,0.009,0.58,54.9292,1.85668
Capacitor,0.009,0.58,0.234115,0.39861
Feedline,0.009,0.58,1.11295,1.11507
Mount,0.009,0.58,2.67435,1.08293
Inductor,0.011,0.58,1.17357,0.894031
Silicon,0.011,0.58,55.5773,1.57554
Capacitor,0.011,0.58,0.278411,0.449374
Feedline,0.011,0.58,1.00805,0.87113
Mount,0.011,0.58,1.95911,0.786779
Inductor,0.001,0.6,0.858625,0.751123
Silicon,0.001,0.6,31.3158,2.11843
Capacitor,0.001,0.6,0.328064,0.465985
Feedline,0.001,0.6,2.15133,0.967445
Mount,0.001,0.6,25.3378,2.16423
Inductor,0.003,0.6,0.864223,0.82532
Silicon,0.003,0.6,46.623,2.13762
Capacitor,0.003,0.6,0.275784,0.387262
Feedline,0.003,0.6,1.27148,1.02572
Mount,0.003,0.6,10.9605,1.77959
Inductor,0.005,0.6,0.824494,0.838217
Silicon,0.005,0.6,51.5879,1.73879
Capacitor,0.005,0.6,0.231435,0.339319
Feedline,0.005,0.6,1.33069,1.0946
Mount,0.005,0.6,6.02188,1.46678
Inductor,0.007,0.6,0.851146,0.811037
Silicon,0.007,0.6,53.467,1.75717
Capacitor,0.007,0.6,0.179791,0.340825
Feedline,0.007,0.6,1.31341,1.09632
Mount,0.007,0.6,4.1859,1.28329
Inductor,0.009,0.6,1.03971,1.12363
Silicon,0.009,0.6,54.8199,1.79125
Capacitor,0.009,0.6,0.218017,0.384222
Feedline,0.009,0.6,0.779341,0.68492
Mount,0.009,0.6,3.13984,1.04009
Inductor,0.011,0.6,1.00033,0.917802
Silicon,0.011,0.6,55.7516,1.49358
Capacitor,0.011,0.6,0.312613,0.546314
Feedline,0.011,0.6,0.963288,0.933763
Mount,0.011,0.6,1.97066,0.843726
Inductor,0.001,0.62,1.02256,0.884399
Silicon,0.001,0.62,30.5474,2.70633
Capacitor,0.001,0.62,0.440597,0.489703
Feedline,0.001,0.62,2.1999,1.10006
Mount,0.001,0.62,25.7796,2.53141
Inductor,0.003,0.62,1.11902,0.964338
Silicon,0.003,0.62,46.1766,2.38371
Capacitor,0.003,0.62,0.295042,0.438668
Feedline,0.003,0.62,1.47321,1.0479
Mount,0.003,0.62,10.9297,1.83163
Inductor,0.005,0.62,1.08879,0.855429
Silicon,0.005,0.62,51.1891,1.97669
Capacitor,0.005,0.62,0.23404,0.434559
Feedline,0.005,0.62,1.0686,0.766179
Mount,0.005,0.62,6.41752,1.38834
Inductor,0.007,0.62,0.886543,0.923913
Silicon,0.007,0.62,53.6079,1.87126
Capacitor,0.007,0.62,0.300996,0.452815
Feedline,0.007,0.62,1.23836,1.06508
Mount,0.007,0.62,3.96463,1.40808
Inductor,0.009,0.62,1.17981,1.19715
Silicon,0.009,0.62,54.7508,1.85034
Capacitor,0.009,0.62,0.235599,0.396959
Feedline,0.009,0.62,0.916328,0.6999
Mount,0.009,0.62,2.91462,1.19387
Inductor,0.011,0.62,0.813653,0.799994
Silicon,0.011,0.62,56.3027,1.21677
Capacitor,0.011,0.62,0.273209,0.485479
Feedline,0.011,0.62,0.653861,0.657388
Mount,0.011,0.62,1.95506,0.8069
Inductor,0.001,0.64,1.11786,0.978702
Silicon,0.001,0.64,30.8108,2.45228
Capacitor,0.001,0.64,0.357592,0.463691
Feedline,0.001,0.64,2.28854,0.992658
Mount,0.001,0.64,25.4142,2.11697
Inductor,0.003,0.64,1.06445,0.928897
Silicon,0.003,0.64,46.1405,2.34416
Capacitor,0.003,0.64,0.174077,0.309624
Feedline,0.003,0.64,1.36616,0.863839
Mount,0.003,0.64,11.2475,1.91774
Inductor,0.005,0.64,0.990796,0.840897
Silicon,0.005,0.64,51.6672,1.65152
Capacitor,0.005,0.64,0.190697,0.27943
Feedline,0.005,0.64,1.22141,0.933901
Mount,0.005,0.64,5.92634,1.27333
Inductor,0.007,0.64,1.1139,1.08798
Silicon,0.007,0.64,53.7051,1.94476
Capacitor,0.007,0.64,0.228827,0.390641
Feedline,0.007,0.64,1.0294,0.920883
Mount,0.007,0.64,3.92001,1.11982
Inductor,0.009,0.64,0.81793,0.91217
Silicon,0.009,0.64,55.1755,1.57657
Capacitor,0.009,0.64,0.216356,0.396097
Feedline,0.009,0.64,1.00177,0.915111
Mount,0.009,0.64,2.7869,0.902863
Inductor,0.011,0.64,0.917964,0.82808
Silicon,0.011,0.64,56.102,1.30054
Capacitor,0.011,0.64,0.189529,0.356749
Feedline,0.011,0.64,0.89133,0.719241
Mount,0.011,0.64,1.89916,0.889215
Inductor,0.001,0.66,1.1035,0.860133
Silicon,0.001,0.66,30.6901,2.68882
Capacitor,0.001,0.66,0.442907,0.453064
Feedline,0.001,0.66,2.19142,1.1217
Mount,0.001,0.66,25.5592,2.58183
Inductor,0.003,0.66,0.786137,0.694089
Silicon,0.003,0.66,46.3819,2.20455
Capacitor,0.003,0.66,0.293575,0.386313
Feedline,0.003,0.66,1.75002,1.33469
Mount,0.003,0.66,10.7843,2.02741
Inductor,0.005,0.66,1.04692,0.952202
Silicon,0.005,0.66,51.0646,2.203
Capacitor,0.005,0.66,0.239355,0.398581
Feedline,0.005,0.66,1.25965,0.918233
Mount,0.005,0.66,6.38456,1.73247
Inductor,0.007,0.66,0.999565,0.888729
Silicon,0.007,0.66,53.647,1.65272
Capacitor,0.007,0.66,0.300563,0.415538
Feedline,0.007,0.66,0.919842,0.83783
Mount,0.007,0.66,4.12887,1.25877
Inductor,0.009,0.66,0.878698,0.974184
Silicon,0.009,0.66,54.7707,1.69236
Capacitor,0.009,0.66,0.227897,0.388789
Feedline,0.009,0.66,0.937327,0.868005
Mount,0.009,0.66,3.17974,1.18473
Inductor,0.011,0.66,0.834748,0.753947
Silicon,0.011,0.66,56.0383,1.56544
Capacitor,0.011,0.66,0.124784,0.2617
Feedline,0.011,0.66,0.808546,0.837447
Mount,0.011,0.66,2.19218,0.924321
Inductor,0.001,0.68,1.13272,0.854783
Silicon,0.001,0.68,30.3094,2.23
Capacitor,0.001,0.68,0.535788,0.53401
Feedline,0.001,0.68,2.37489,1.13455
Mount,0.001,0.68,25.6343,2.03092
Inductor,0.003,0.68,0.664179,0.758712
Silicon,0.003,0.68,46.6304,2.16489
Capacitor,0.003,0.68,0.180174,0.318769
Feedline,0.003,0.68,1.57216,0.962837
Mount,0.003,0.68,10.9476,1.97554
Inductor,0.005,0.68,1.01215,1.0386
Silicon,0.005,0.68,51.0761,2.03734
Capacitor,0.005,0.68,0.377344,0.586285
Feedline,0.005,0.68,0.953248,0.716856
Mount,0.005,0.68,6.57846,1.76994
Inductor,0.007,0.68,0.817805,0.882997
Silicon,0.007,0.68,53.5253,1.71654
Capacitor,0.007,0.68,0.217487,0.335782
Feedline,0.007,0.68,1.01193,0.791385
Mount,0.007,0.68,4.42466,1.2764
Inductor,0.009,0.68,0.920676,0.893969
Silicon,0.009,0.68,54.8078,1.69508
Capacitor,0.009,0.68,0.18569,0.355722
Feedline,0.009,0.68,1.0812,1.16308
Mount,0.009,0.68,3.00066,1.16623
Inductor,0.011,0.68,1.1192,0.844138
Silicon,0.011,0.68,55.486,1.58391
Capacitor,0.011,0.68,0.42535,0.61533
Feedline,0.011,0.68,0.861401,0.785494
Mount,0.011,0.68,2.10743,1.01121
Inductor,0.001,0.7,1.0853,0.892367
Silicon,0.001,0.7,29.7308,2.65734
Capacitor,0.001,0.7,0.39041,0.474055
Feedline,0.001,0.7,2.52095,1.05368
Mount,0.001,0.7,26.2662,2.57607
Inductor,0.003,0.7,1.07209,0.97383
Silicon,0.003,0.7,45.863,1.9304
Capacitor,0.003,0.7,0.422623,0.540148
Feedline,0.003,0.7,1.48606,0.89157
Mount,0.003,0.7,11.149,1.72062
Inductor,0.005,0.7,1.01024,0.929508
Silicon,0.005,0.7,51.2039,1.85281
Capacitor,0.005,0.7,0.230586,0.392112
Feedline,0.005,0.7,1.10984,0.951518
Mount,0.005,0.7,6.44029,1.45934
Inductor,0.007,0.7,1.02816,1.01009
Silicon,0.007,0.7,53.5002,1.78072
Capacitor,0.007,0.7,0.193318,0.412704
Feedline,0.007,0.7,0.968083,0.940148
Mount,0.007,0.7,4.30745,1.1505
Inductor,0.009,0.7,0.82803,0.83087
Silicon,0.009,0.7,55.3347,1.89551
Capacitor,0.009,0.7,0.265157,0.48022
Feedline,0.009,0.7,0.863337,1.04469
Mount,0.009,0.7,2.70491,0.980941
Inductor,0.011,0.7,0.95522,0.890983
Silicon,0.011,0.7,55.6743,1.49881
Capacitor,0.011,0.7,0.255995,0.425478
Feedline,0.011,0.7,1.08501,0.946059
Mount,0.011,0.7,2.02894,0.880308
Inductor,0.001,0.72,1.06667,0.846519
Silicon,0.001,0.72,30.0356,2.29734
Capacitor,0.001,0.72,0.467827,0.611212
Feedline,0.001,0.72,2.2259,1.20067
Mount,0.001,0.72,26.1928,1.90326
Inductor,0.003,0.72,1.04998,0.908249
Silicon,0.003,0.72,46.0865,2.21719
Capacitor,0.003,0.72,0.233005,0.416658
Feedline,0.003,0.72,1.5801,0.798152
Mount,0.003,0.72,11.0438,2.02598
Inductor,0.005,0.72,0.867907,0.879708
Silicon,0.005,0.72,51.0202,2.16368
Capacitor,0.005,0.72,0.274488,0.449771
Feedline,0.005,0.72,1.27583,1.00502
Mount,0.005,0.72,6.55983,1.5849
Inductor,0.007,0.72,0.99647,0.950393
Silicon,0.007,0.72,53.6578,1.77512
Capacitor,0.007,0.72,0.251038,0.454042
Feedline,0.007,0.72,1.15869,0.891686
Mount,0.007,0.72,3.93538,1.27946
Inductor,0.009,0.72,0.881185,0.945562
Silicon,0.009,0.72,55.111,1.68206
Capacitor,0.009,0.72,0.208223,0.35887
Feedline,0.009,0.72,0.977839,0.785099
Mount,0.009,0.72,2.81824,0.999404
Inductor,0.011,0.72,0.910977,0.964307
Silicon,0.011,0.72,55.5244,1.42625
Capacitor,0.011,0.72,0.254143,0.450266
Feedline,0.011,0.72,1.04859,1.01676
Mount,0.011,0.72,2.26045,0.881741
Inductor,0.001,0.74,0.917351,0.914434
Silicon,0.001,0.74,30.3079,2.53843
Capacitor,0.001,0.74,0.315371,0.506676
Feedline,0.001,0.74,2.13625,1.15091
Mount,0.001,0.74,26.3143,2.50621
Inductor,0.003,0.74,1.16643,1.03694
Silicon,0.003,0.74,45.7668,2.29035
Capacitor,0.003,0.74,0.305824,0.467433
Feedline,0.003,0.74,1.54156,1.12629
Mount,0.003,0.74,11.2136,1.91357
Inductor,0.005,0.74,1.07298,0.904482
Silicon,0.005,0.74,50.8593,1.87963
Capacitor,0.005,0.74,0.367126,0.474298
Feedline,0.005,0.74,1.17433,0.915741
Mount,0.005,0.74,6.52492,1.40532
Inductor,0.007,0.74,0.912386,0.7465
Silicon,0.007,0.74,53.1968,1.72618
Capacitor,0.007,0.74,0.268852,0.422776
Feedline,0.007,0.74,1.18487,0.791259
Mount,0.007,0.74,4.43485,1.32558
Inductor,0.009,0.74,0.82414,0.778609
Silicon,0.009,0.74,55.312,1.53919
Capacitor,0.009,0.74,0.152873,0.334555
Feedline,0.009,0.74,0.998873,0.785105
Mount,0.009,0.74,2.70799,1.09622
Inductor,0.011,0.74,0.976345,1.0195
Silicon,0.011,0.74,55.6394,1.461
Capacitor,0.011,0.74,0.276431,0.471254
Feedline,0.011,0.74,0.797085,0.894206
Mount,0.011,0.74,2.30896,0.810568
Inductor,0.001,0.76,1.04248,0.879969
Silicon,0.001,0.76,30.1351,2.3292
Capacitor,0.001,0.76,0.387344,0.518059
Feedline,0.001,0.76,1.91779,1.05048
Mount,0.001,0.76,26.5063,2.06923
Inductor,0.003,0.76,1.06456,0.864745
Silicon,0.003,0.76,45.667,1.99421
Capacitor,0.003,0.76,0.339244,0.500674
Feedline,0.003,0.76,1.43499,0.94751
Mount,0.003,0.76,11.4887,1.74977
Inductor,0.005,0.76,0.732745,0.701624
Silicon,0.005,0.76,51.415,1.76873
Capacitor,0.005,0.76,0.247311,0.415524
Feedline,0.005,0.76,1.19151,0.809413
Mount,0.005,0.76,6.41032,1.43064
Inductor,0.007,0.76,1.03986,0.970986
Silicon,0.007,0.76,53.2493,1.65084
Capacitor,0.007,0.76,0.323152,0.418091
Feedline,0.007,0.76,0.986986,0.711233
Mount,0.007,0.76,4.39851,1.32723
Inductor,0.009,0.76,0.864536,0.797632
Silicon,0.009,0.76,55.085,1.71468
Capacitor,0.009,0.76,0.179499,0.368622
Feedline,0.009,0.76,0.86114,0.795908
Mount,0.009,0.76,3.0049,1.30282
Inductor,0.011,0.76,0.971751,0.794601
Silicon,0.011,0.76,55.583,1.45429
Capacitor,0.011,0.76,0.205342,0.396608
Feedline,0.011,0.76,0.908893,0.830105
Mount,0.011,0.76,2.33012,0.779072
Inductor,0.001,0.78,1.39139,1.15276
Silicon,0.001,0.78,29.0852,2.54311
Capacitor,0.001,0.78,0.391711,0.428036
Feedline,0.001,0.78,2.1704,1.12139
Mount,0.001,0.78,26.95,2.50621
Inductor,0.003,0.78,1.01747,0.844158
Silicon,0.003,0.78,45.671,2.04024
Capacitor,0.003,0.78,0.254689,0.389241
Feedline,0.003,0.78,1.16842,0.743555
Mount,0.003,0.78,11.883,1.72194
Inductor,0.005,0.78,0.980198,0.861242
Silicon,0.005,0.78,50.8275,2.00093
Capacitor,0.005,0.78,0.206101,0.395319
Feedline,0.005,0.78,1.1421,0.896868
Mount,0.005,0.78,6.83792,1.55498
Inductor,0.007,0.78,0.991951,0.909313
Silicon,0.007,0.78,53.4299,1.97999
Capacitor,0.007,0.78,0.340723,0.49801
Feedline,0.007,0.78,1.21465,0.877586
Mount,0.007,0.78,4.02167,1.22362
Inductor,0.009,0.78,0.948823,1.0856
Silicon,0.009,0.78,55.0061,1.61725
Capacitor,0.009,0.78,0.38211,0.547344
Feedline,0.009,0.78,0.734142,0.875205
Mount,0.009,0.78,2.92371,1.00635
Inductor,0.011,0.78,0.759944,0.782157
Silicon,0.011,0.78,55.7787,1.41605
Capacitor,0.011,0.78,0.302758,0.478177
Feedline,0.011,0.78,0.931164,0.971385
Mount,0.011,0.78,2.22655,0.851743
Inductor,0.001,0.8,1.34649,1.0829
Silicon,0.001,0.8,28.6436,2.34779
Capacitor,0.001,0.8,0.370107,0.472191
Feedline,0.001,0.8,2.26107,0.982583
Mount,0.001,0.8,27.3715,2.37684
Inductor,0.003,0.8,0.96824,1.08414
