Run ID,Event ID,Track ID,Particle Name,Start Energy [eV],Start X [m],Start Y [m],Start Z [m],Start Time [ns],Energy Deposited [eV],Track Weight,End X [m],End Y [m],End Z [m],Final Time [ns]
0,3,10,phononTF,2.56626e-05,-2.75632e-05,-2.80754e-05,4.9999e-05,98.1836,2.56626e-05,1,-0.00261223,-4.60058e-05,5e-05,17086.9
0,3,8,phononTS,1.29423e-05,-2.75632e-05,-2.80754e-05,4.9999e-05,98.1836,1.29423e-05,1,-6.40321e-06,0.000856507,5e-05,21246.2
0,3,7,phononTS,0.000104489,-2.75632e-05,-2.80754e-05,4.9999e-05,98.1836,0.000104489,1,6.27682e-05,2.1645e-05,5e-05,324.759
0,3,6,phononTF,9.08802e-05,-2.75632e-05,-2.80754e-05,4.9999e-05,98.1836,9.08802e-05,1,-0.000282121,0.000385654,5e-05,338.573
0,3,5,phononTF,2.51495e-05,-2.75632e-05,-2.80754e-05,4.9999e-05,98.1836,2.51495e-05,1,-3.48406e-05,0.000400086,5e-05,306.429
0,3,24,phononTF,0.00111883,-5.45466e-05,-6.5093e-05,4.9999e-05,109.846,0.00111883,1,-5.45464e-05,-6.50941e-05,5e-05,109.847
0,3,23,phononTS,0.000990585,-5.45466e-05,-6.5093e-05,4.9999e-05,109.846,0.0008772,1,-0.00418525,-6.08296e-05,5e-05,8133.63
0,4,3,phononTF,0.00549382,6.30176e-06,-8.9257e-05,1.60174e-05,91.0744,0.00549382,1,-6.42436e-06,-8.71329e-05,5e-05,105.606
0,4,4,phononTF,0.000553129,3.45517e-06,-0.000169843,-4.9999e-05,120.396,0.000553129,1,-0.00391227,-6.45334e-05,5e-05,3809.98
Run ID,Event ID,Track ID,Particle Name,Start Energy [eV],Start X [m],Start Y [m],Start Z [m],Start Time [ns],Energy Deposited [eV],Track Weight,End X [m],End Y [m],End Z [m],Final Time [ns]
0,0,1,phononL,0.0075,0,0,0,0,0.00339507,1,-4.58482e-05,2.93897e-05,5e-05,173.697
0,0,19,phononTS,7.15121e-06,-4.58482e-05,2.93897e-05,4.9999e-05,173.697,7.15121e-06,1,-0.000111804,4.93313e-05,5e-05,296.678
0,0,18,phononTF,0.000217743,-4.58482e-05,2.93897e-05,4.9999e-05,173.697,0.000217743,1,-4.76891e-05,0.000276585,5e-05,357.169
0,0,15,phononTS,1.01082e-05,-4.58482e-05,2.93897e-05,4.9999e-05,173.697,1.01082e-05,1,-2.39474e-05,2.67163e-05,5e-05,236.21
0,0,12,phononTS,9.38921e-06,-4.58482e-05,2.93897e-05,4.9999e-05,173.697,9.38921e-06,1,2.42117e-05,1.38696e-05,5e-05,296.178
0,0,11,phononTS,0.000344054,-4.58482e-05,2.93897e-05,4.9999e-05,173.697,0.000344054,1,-1.20731e-05,-6.77853e-06,5e-05,239.426
0,0,4,phononTF,6.69457e-05,-4.58482e-05,2.93897e-05,4.9999e-05,173.697,6.69457e-05,1,0.000516017,-8.82726e-06,5e-05,30846.3
0,0,2,phononTF,0.000274399,-4.58482e-05,2.93897e-05,4.9999e-05,173.697,0.000274399,1,-0.000311525,1.83281e-05,5e-05,308.939
Run ID,Event ID,Track ID,Particle Name,Start Energy [eV],Start X [m],Start Y [m],Start Z [m],Start Time [ns],Energy Deposited [eV],Track Weight,End X [m],End Y [m],End Z [m],Final Time [ns]
0,0,1,phononL,0.0075,0,0,0,0,0.00339507,1,-4.58482e-05,2.93897e-05,5e-05,173.697
0,0,19,phononTS,7.15121e-06,-4.58482e-05,2.93897e-05,4.9999e-05,173.697,7.15121e-06,1,-0.000111804,4.93313e-05,5e-05,296.678
0,0,18,phononTF,0.000217743,-4.58482e-05,2.93897e-05,4.9999e-05,173.697,0.000217743,1,-4.76891e-05,0.000276585,5e-05,357.169
0,0,15,phononTS,1.01082e-05,-4.58482e-05,2.93897e-05,4.9999e-05,173.697,1.01082e-05,1,-2.39474e-05,2.67163e-05,5e-05,236.21
0,0,12,phononTS,9.38921e-06,-4.58482e-05,2.93897e-05,4.9999e-05,173.697,9.38921e-06,1,2.42117e-05,1.38696e-05,5e-05,296.178
0,0,11,phononTS,0.000344054,-4.58482e-05,2.93897e-05,4.9999e-05,173.697,0.000344054,1,-1.20731e-05,-6.77853e-06,5e-05,239.426
0,0,4,phononTF,6.69457e-05,-4.58482e-05,2.93897e-05,4.9999e-05,173.697,6.69457e-05,1,0.000516017,-8.82726e-06,5e-05,30846.3
0,0,2,phononTF,0.000274399,-4.58482e-05,2.93897e-05,4.9999e-05,173.697,0.000274399,1,-0.000311525,1.83281e-05,5e-05,308.939
Run ID,Event ID,Track ID,Particle Name,Start Energy [eV],Start X [m],Start Y [m],Start Z [m],Start Time [ns],Energy Deposited [eV],Track Weight,End X [m],End Y [m],End Z [m],Final Time [ns]
